id,name,POU,width,length,depth,waterVolume,weight,SCCs,state
132,54975497680,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
133,54975497681,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
134,54975497682,SIN,70,38,36,0.0931,3,,saved
135,54975497683,SIN,157,65,75,0.71435,600,,saved
136,54975497684,SIN,142,124,102,1.7608,1943,,saved
137,54975497685,PEN,110,110,130,1.573,800,,saved
138,54975497686,PEN,60,80,30,0.1344,10,MNR,saved
139,54975497687,PEN,110,100,100,0.88,130,CRT,saved
140,54975497688,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
141,54975497689,PEN,120,80,120,1.12812,500,REG,saved
142,54975497690,PEN,109,105,62,0.698145,116,REG,saved
143,54975497691,ORD,51,51,51,0.132651,65,EAP+ECC,saved
144,54975497692,ORD,109,99,191,2.05029,441,EAP+ECC,saved
145,54975497693,ORD,121,101,100,1.1858,400,EAP+ECC,saved
146,54975497694,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
147,54975497695,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
148,54975497696,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
149,54975497697,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
150,54975497698,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
151,54975497699,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
152,54975497700,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
153,54975497701,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
154,54975497702,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
155,54975497703,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
156,54975497704,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
157,54975497705,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
158,54975497706,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
159,54975497707,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
160,54975497708,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
161,54975497709,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
162,54975497710,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
163,54975497711,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
164,54975497712,SIN,70,38,36,0.0931,3,,saved
165,54975497713,SIN,157,65,75,0.71435,600,,saved
166,54975497714,SIN,142,124,102,1.7608,1943,,saved
167,54975497715,PEN,110,110,130,1.573,800,,saved
168,54975497716,PEN,60,80,30,0.1344,10,MNR,saved
169,54975497717,PEN,110,100,100,0.88,130,CRT,saved
170,54975497718,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
171,54975497719,PEN,120,80,120,1.12812,500,REG,saved
172,54975497720,PEN,109,105,62,0.698145,116,REG,saved
173,54975497721,ORD,51,51,51,0.132651,65,EAP+ECC,saved
174,54975497722,ORD,109,99,191,2.05029,441,EAP+ECC,saved
175,54975497723,ORD,121,101,100,1.1858,400,EAP+ECC,saved
176,54975497724,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
177,54975497725,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
178,54975497726,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
179,54975497727,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
180,54975497728,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
181,54975497729,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
182,54975497730,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
183,54975497731,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
184,54975497732,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
185,54975497733,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
186,54975497734,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
187,54975497735,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
188,54975497736,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
189,54975497737,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
190,54975497738,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
191,54975497739,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
192,54975497740,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
193,54975497741,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
194,54975497742,SIN,70,38,36,0.0931,3,,saved
195,54975497743,SIN,157,65,75,0.71435,600,,saved
196,54975497744,SIN,142,124,102,1.7608,1943,,saved
197,54975497745,PEN,110,110,130,1.573,800,,saved
198,54975497746,PEN,60,80,30,0.1344,10,MNR,saved
199,54975497747,PEN,110,100,100,0.88,130,CRT,saved
200,54975497748,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
201,54975497749,PEN,120,80,120,1.12812,500,REG,saved
202,54975497750,PEN,109,105,62,0.698145,116,REG,saved
203,54975497751,ORD,51,51,51,0.132651,65,EAP+ECC,saved
204,54975497752,ORD,109,99,191,2.05029,441,EAP+ECC,saved
205,54975497753,ORD,121,101,100,1.1858,400,EAP+ECC,saved
206,54975497754,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
207,54975497755,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
208,54975497756,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
209,54975497757,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
210,54975497758,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
211,54975497759,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
212,54975497760,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
213,54975497761,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
214,54975497762,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
215,54975497763,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
216,54975497764,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
217,54975497765,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
218,54975497766,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
219,54975497767,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
220,54975497768,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
221,54975497769,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
222,54975497770,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
223,54975497771,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
224,54975497772,SIN,70,38,36,0.0931,3,,saved
225,54975497773,SIN,157,65,75,0.71435,600,,saved
226,54975497774,SIN,142,124,102,1.7608,1943,,saved
227,54975497775,PEN,110,110,130,1.573,800,,saved
228,54975497776,PEN,60,80,30,0.1344,10,MNR,saved
229,54975497777,PEN,110,100,100,0.88,130,CRT,saved
230,54975497778,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
231,54975497779,PEN,120,80,120,1.12812,500,REG,saved
232,54975497780,PEN,109,105,62,0.698145,116,REG,saved
233,54975497781,ORD,51,51,51,0.132651,65,EAP+ECC,saved
234,54975497782,ORD,109,99,191,2.05029,441,EAP+ECC,saved
235,54975497783,ORD,121,101,100,1.1858,400,EAP+ECC,saved
236,54975497784,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
237,54975497785,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
238,54975497786,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
239,54975497787,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
240,54975497788,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
241,54975497789,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
242,54975497790,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
243,54975497791,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
244,54975497792,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
245,54975497793,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
246,54975497794,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
247,54975497795,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
248,54975497796,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
249,54975497797,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
250,54975497798,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
251,54975497799,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
252,54975497800,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
253,54975497801,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
254,54975497802,SIN,70,38,36,0.0931,3,,saved
255,54975497803,SIN,157,65,75,0.71435,600,,saved
256,54975497804,SIN,142,124,102,1.7608,1943,,saved
257,54975497805,PEN,110,110,130,1.573,800,,saved
258,54975497806,PEN,60,80,30,0.1344,10,MNR,saved
259,54975497807,PEN,110,100,100,0.88,130,CRT,saved
260,54975497808,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
261,54975497809,PEN,120,80,120,1.12812,500,REG,saved
262,54975497810,PEN,109,105,62,0.698145,116,REG,saved
263,54975497811,ORD,51,51,51,0.132651,65,EAP+ECC,saved
264,54975497812,ORD,109,99,191,2.05029,441,EAP+ECC,saved
265,54975497813,ORD,121,101,100,1.1858,400,EAP+ECC,saved
266,54975497814,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
267,54975497815,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
268,54975497816,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
269,54975497817,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
270,54975497818,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
271,54975497819,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
272,54975497820,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
273,54975497821,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
274,54975497822,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
275,54975497823,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
276,54975497824,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
277,54975497825,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
278,54975497826,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
279,54975497827,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
280,54975497828,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
281,54975497829,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
282,54975497830,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
283,54975497831,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
284,54975497832,SIN,70,38,36,0.0931,3,,saved
285,54975497833,SIN,157,65,75,0.71435,600,,saved
286,54975497834,SIN,142,124,102,1.7608,1943,,saved
287,54975497835,PEN,110,110,130,1.573,800,,saved
288,54975497836,PEN,60,80,30,0.1344,10,MNR,saved
289,54975497837,PEN,110,100,100,0.88,130,CRT,saved
290,54975497838,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
291,54975497839,PEN,120,80,120,1.12812,500,REG,saved
292,54975497840,PEN,109,105,62,0.698145,116,REG,saved
293,54975497841,ORD,51,51,51,0.132651,65,EAP+ECC,saved
294,54975497842,ORD,109,99,191,2.05029,441,EAP+ECC,saved
295,54975497843,ORD,121,101,100,1.1858,400,EAP+ECC,saved
296,54975497844,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
297,54975497845,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
298,54975497846,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
299,54975497847,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
300,54975497848,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
301,54975497849,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
302,54975497850,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
303,54975497851,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
304,54975497852,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
305,54975497853,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
306,54975497854,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
307,54975497855,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
308,54975497856,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
309,54975497857,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
310,54975497858,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
311,54975497859,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
312,54975497860,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
313,54975497861,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
314,54975497862,SIN,70,38,36,0.0931,3,,saved
315,54975497863,SIN,157,65,75,0.71435,600,,saved
316,54975497864,SIN,142,124,102,1.7608,1943,,saved
317,54975497865,PEN,110,110,130,1.573,800,,saved
318,54975497866,PEN,60,80,30,0.1344,10,MNR,saved
319,54975497867,PEN,110,100,100,0.88,130,CRT,saved
320,54975497868,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
321,54975497869,PEN,120,80,120,1.12812,500,REG,saved
322,54975497870,PEN,109,105,62,0.698145,116,REG,saved
323,54975497871,ORD,51,51,51,0.132651,65,EAP+ECC,saved
324,54975497872,ORD,109,99,191,2.05029,441,EAP+ECC,saved
325,54975497873,ORD,121,101,100,1.1858,400,EAP+ECC,saved
326,54975497874,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
327,54975497875,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
328,54975497876,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
329,54975497877,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
330,54975497878,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
331,54975497879,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
332,54975497880,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
333,54975497881,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
334,54975497882,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
335,54975497883,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
336,54975497884,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
337,54975497885,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
338,54975497886,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
339,54975497887,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
340,54975497888,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
341,54975497889,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
342,54975497890,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
343,54975497891,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
344,54975497892,SIN,70,38,36,0.0931,3,,saved
345,54975497893,SIN,157,65,75,0.71435,600,,saved
346,54975497894,SIN,142,124,102,1.7608,1943,,saved
347,54975497895,PEN,110,110,130,1.573,800,,saved
348,54975497896,PEN,60,80,30,0.1344,10,MNR,saved
349,54975497897,PEN,110,100,100,0.88,130,CRT,saved
350,54975497898,PEN,45,34,34,0.05202,5,CAO+RBI+DGR,saved
351,54975497899,PEN,120,80,120,1.12812,500,REG,saved
352,54975497900,PEN,109,105,62,0.698145,116,REG,saved
353,54975497901,ORD,51,51,51,0.132651,65,EAP+ECC,saved
354,54975497902,ORD,109,99,191,2.05029,441,EAP+ECC,saved
355,54975497903,ORD,121,101,100,1.1858,400,EAP+ECC,saved
356,54975497904,ORD,154,32,34,0.156519,21,EAP+ECC+MNR,saved
357,54975497905,ORD,120,80,80,0.73944,54.5,EAP+ECC+MNR,saved
358,54975497906,PEN,104,122,56,0.685152,355.5,EAP+ECC+PSC,saved
359,54975497907,PEN,40,39,39,0.05624,100,EAW+REG+ECC,saved
360,54975497908,SIN,230,150,228,7.69304,1416,SCS+SEN,saved
361,54975497909,SIN,120,80,92,0.864,282.5,CAO+RBI+DGR,saved
362,54975497910,ORD,45,34,34,0.0459,185.2,CAO+RBI+DGR,saved
363,54975497911,ORD,80,60,60,0.24,140,CAO+RBI+DGR,saved
364,54975497912,ORD,41,41,41,0.063878,34.068,RXG+CAO+DGR,saved
365,54975497913,ORD,26,28,36,0.02184,21.877,CAO+RBI+EAP+ECC+DGR,saved
366,54975497914,SIN,100,60,45,0.24,27,RCM+RPB+DGR+VOL,saved
367,54975497915,SIN,86,83,93,0.64242,158,REG+CBE+SPX+GEN,saved
368,54975497916,SIN,117,97,80,0.8424,123,RMD+ECC+EAP+DGR,saved
369,54975497917,PEN,60,60,52,0.18,192,RNG+EAP+ECC+DGR,saved
370,54975497918,PEN,34,27,34,0.02754,2.3,RFL+DGR,saved
371,54975497919,SIN,48,49,24,0.04704,13,RMD+VOL+DGR,saved
372,54975497920,SIN,49,49,55,0.12005,163,ICE+FRO+TEM+SCS,saved
373,54975497921,SIN,56,49,48,0.12348,1575,ICE+TEM+COL+SCS,saved
374,54975497922,SIN,70,38,36,0.0931,3,,saved
375,54975497923,SIN,157,65,75,0.71435,600,,saved
