ID,Flight,POU,SCC,WV,X,Y,Z,W,SQV
131,ABD,JPN,NDS,228,3,13,7,100,273
132,ABD,ICN,NDS,203,3,9,9,118,243
133,ABD,JPN,NDS,227,34,4,2,102,272
134,ABD,ICN,NDS,218,3,29,3,105,261
135,ABD,ICN,NDS,207,2,4,31,103,248
136,ABD,ICN,NDS,216,1,1,259,114,259
137,ABD,ICN,NDS,222,2,1,133,113,266
138,ABD,ICN,NDS,221,1,5,53,118,265
139,ABD,ICN,NDS,208,1,1,249,118,249
140,ABD,JPN,NDS,212,1,1,254,101,254
141,ABD,JPN,NDS,204,2,1,122,103,244
142,ABD,ICN,NDS,207,2,4,31,116,248
143,ABD,ICN,NDS,202,1,22,11,118,242
144,ABD,JPN,NDS,218,3,1,87,117,261
145,ABD,JPN,NDS,201,1,1,241,105,241
146,ABD,JPN,NDS,216,1,37,7,120,259
147,ABD,ICN,NDS,200,12,5,4,102,240
148,ABD,ICN,NDS,201,1,1,241,113,241
149,ABD,ICN,NDS,207,2,2,62,110,248
150,ABD,JPN,NDS,213,1,17,15,111,255
151,ABD,ICN,NDS,224,2,67,2,110,268
152,ABD,ICN,NDS,226,1,271,1,106,271
153,ABD,ICN,NDS,230,1,2,138,106,276
154,ABD,JPN,NDS,209,1,25,10,116,250
155,ABD,ICN,NDS,226,1,1,271,100,271
156,ABD,ICN,NDS,211,1,1,253,118,253
157,ABD,JPN,NDS,200,1,4,60,114,240
158,ABD,ICN,NDS,230,6,1,46,102,276
159,ABD,ICN,NDS,210,14,9,2,112,252
160,ABD,ICN,NDS,223,1,1,267,113,267
161,ABD,ICN,NDS,218,3,1,87,109,261
162,ABD,JPN,NDS,208,1,249,1,103,249
163,ABD,JPN,NDS,224,1,1,268,119,268
164,ABD,JPN,NDS,212,127,2,1,111,254
165,ABD,JPN,NDS,226,1,1,271,108,271
166,ABD,JPN,NDS,205,2,3,41,116,246
167,ABD,ICN,NDS,209,25,2,5,106,250
168,ABD,JPN,NDS,201,1,1,241,109,241
169,ABD,ICN,NDS,204,2,2,61,109,244
170,ABD,ICN,NDS,230,46,3,2,101,276
171,ABD,ICN,NDS,207,4,1,62,104,248
172,ABD,JPN,NDS,214,64,1,4,105,256
173,ABD,JPN,NDS,223,89,1,3,101,267
174,ABD,JPN,NDS,216,37,1,7,100,259
175,ABD,ICN,NDS,230,46,1,6,105,276
176,ABD,ICN,NDS,210,1,3,84,119,252
177,ABD,JPN,NDS,229,1,1,274,117,274
178,ABD,ICN,NDS,205,2,3,41,106,246
179,ABD,ICN,NDS,200,20,1,12,113,240
180,ABD,JPN,NDS,218,1,29,9,102,261
181,ABD,JPN,NDS,220,2,11,12,110,264
182,ABD,JPN,NDS,220,4,6,11,101,264
183,ABD,ICN,NDS,230,1,23,12,109,276
184,ABD,ICN,NDS,220,66,1,4,116,264
185,ABD,JPN,NDS,200,20,1,12,111,240
186,ABD,JPN,NDS,219,1,2,131,104,262
187,ABD,JPN,NDS,216,1,1,259,103,259
188,ABD,JPN,NDS,227,4,17,4,105,272
189,ABD,ICN,NDS,203,9,3,9,102,243
190,ABD,JPN,NDS,202,1,2,121,105,242
191,ABD,ICN,NDS,230,69,2,2,119,276
192,ABD,ICN,NDS,206,1,1,247,111,247
193,ABD,JPN,NDS,228,1,3,91,107,273
194,ABD,ICN,NDS,213,1,51,5,109,255
195,ABD,ICN,NDS,203,3,9,9,110,243
196,ABD,JPN,NDS,226,1,1,271,109,271
197,ABD,ICN,NDS,211,23,1,11,110,253
198,ABD,ICN,NDS,214,16,1,16,116,256
199,ABD,ICN,NDS,201,1,1,241,104,241
200,ABD,ICN,NDS,208,1,1,249,110,249
201,ABD,ICN,NDS,202,11,1,22,119,242
202,ABD,ICN,NDS,202,1,1,242,103,242
203,ABD,ICN,NDS,209,5,2,25,106,250
204,ABD,ICN,NDS,211,1,1,253,106,253
205,ABD,JPN,NDS,213,1,51,5,116,255
206,ABD,JPN,NDS,222,1,1,266,110,266
207,ABD,JPN,NDS,200,10,6,4,106,240
208,ABD,ICN,NDS,217,4,5,13,114,260
209,ABD,JPN,NDS,217,2,2,65,102,260
210,ABD,JPN,NDS,203,27,3,3,107,243
211,ABD,JPN,NDS,208,1,249,1,106,249
212,ABD,JPN,NDS,204,61,2,2,106,244
213,ABD,ICN,NDS,208,1,1,249,101,249
214,ABD,JPN,NDS,222,1,19,14,116,266
215,ABD,JPN,NDS,210,1,126,2,118,252
216,ABD,ICN,NDS,201,1,241,1,114,241
217,ABD,ICN,NDS,216,1,1,259,100,259
218,ABD,ICN,NDS,215,1,86,3,120,258
219,ABD,JPN,NDS,225,3,1,90,110,270
220,ABD,ICN,NDS,212,1,1,254,111,254
221,ABD,JPN,NDS,220,12,1,22,104,264
222,ABD,JPN,NDS,226,1,1,271,107,271
223,ABD,JPN,NDS,207,1,62,4,112,248
224,ABD,ICN,NDS,204,61,2,2,101,244
225,ABD,ICN,NDS,217,13,2,10,101,260
226,ABD,JPN,NDS,223,3,1,89,108,267
227,ABD,ICN,NDS,200,1,2,120,117,240
228,ABD,ICN,NDS,202,11,2,11,115,242
229,ABD,JPN,NDS,213,1,5,51,108,255
230,ABD,JPN,NDS,210,14,9,2,100,252
231,ABD,JPN,NDS,219,1,2,131,105,262
232,ABD,ICN,NDS,206,19,1,13,107,247
233,ABD,ICN,NDS,210,1,7,36,105,252
234,ABD,JPN,NDS,225,6,3,15,114,270
235,ABD,ICN,NDS,221,1,1,265,113,265
236,ABD,JPN,NDS,208,1,1,249,112,249
237,ABD,ICN,NDS,216,1,1,259,111,259
238,ABD,ICN,NDS,223,3,89,1,101,267
239,ABD,JPN,NDS,213,3,5,17,114,255
240,ABD,ICN,NDS,219,1,2,131,108,262
241,ABD,ICN,NDS,204,2,61,2,108,244
242,ABD,ICN,NDS,219,2,131,1,103,262
243,ABD,JPN,NDS,217,2,10,13,113,260
244,ABD,ICN,NDS,217,26,5,2,103,260
245,ABD,JPN,NDS,201,1,241,1,116,241
246,ABD,JPN,NDS,222,1,14,19,120,266
247,ABD,JPN,NDS,221,1,1,265,111,265
248,ABD,JPN,NDS,200,1,40,6,104,240
249,ABD,ICN,NDS,203,3,3,27,101,243
250,ABD,ICN,NDS,209,25,5,2,115,250
251,ABD,ICN,NDS,226,1,1,271,110,271
252,ABD,JPN,NDS,205,1,6,41,105,246
253,ABD,JPN,NDS,204,1,61,4,103,244
254,ABD,JPN,NDS,214,4,8,8,115,256
255,ABD,JPN,NDS,224,2,2,67,112,268
256,ABD,JPN,NDS,209,5,25,2,115,250
257,ABD,JPN,NDS,221,53,1,5,107,265
258,ABD,JPN,NDS,218,29,3,3,101,261
259,ABD,ICN,NDS,218,1,9,29,109,261
260,ABD,JPN,NDS,204,1,122,2,110,244
261,ABD,ICN,NDS,201,1,1,241,112,241
262,ABD,ICN,NDS,229,2,137,1,120,274
263,ABD,JPN,NDS,220,1,4,66,100,264
264,ABD,ICN,NDS,209,2,25,5,111,250
265,ABD,ICN,NDS,224,2,1,134,120,268
266,ABD,JPN,NDS,225,1,135,2,100,270
267,ABD,JPN,NDS,220,6,1,44,101,264
268,ABD,JPN,NDS,201,1,1,241,113,241
269,ABD,JPN,NDS,227,8,1,34,107,272
270,ABD,JPN,NDS,221,53,1,5,110,265
271,ABD,JPN,NDS,212,1,254,1,108,254
272,ABD,JPN,NDS,201,1,241,1,109,241
273,ABD,JPN,NDS,228,3,13,7,105,273
274,ABD,JPN,NDS,222,1,7,38,113,266
275,ABD,JPN,NDS,203,1,9,27,103,243
276,ABD,ICN,NDS,226,1,1,271,115,271
277,ABD,JPN,NDS,205,41,2,3,116,246
278,ABD,JPN,NDS,226,1,271,1,104,271
279,ABD,ICN,NDS,202,11,11,2,106,242
280,ABD,ICN,NDS,224,67,1,4,108,268
281,ABD,JPN,NDS,222,19,2,7,112,266
282,ABD,JPN,NDS,212,127,1,2,118,254
283,ABD,ICN,NDS,224,67,1,4,112,268
284,ABD,ICN,NDS,217,26,1,10,110,260
285,ABD,ICN,NDS,216,37,1,7,106,259
286,ABD,ICN,NDS,223,1,3,89,103,267
287,ABD,ICN,NDS,222,2,7,19,120,266
288,ABD,ICN,NDS,214,64,1,4,115,256
289,ABD,ICN,NDS,225,45,3,2,107,270
290,ABD,ICN,NDS,214,16,8,2,107,256
291,ABD,ICN,NDS,206,13,19,1,110,247
292,ABD,ICN,NDS,201,1,1,241,120,241
293,ABD,ICN,NDS,206,13,19,1,109,247
294,ABD,ICN,NDS,221,5,1,53,109,265
295,ABD,ICN,NDS,211,23,1,11,105,253
296,ABD,ICN,NDS,205,3,2,41,103,246
297,ABD,ICN,NDS,213,5,3,17,101,255
298,ABD,ICN,NDS,230,6,2,23,119,276
299,ABD,ICN,NDS,204,2,61,2,104,244
300,ABD,ICN,NDS,204,2,61,2,112,244

